,Datetime,Tweet Id,Text,Username
20,2021-05-05 09:31:09+00:00,1389875303577788416,"@narendramodi  please, Take stringent action on illegal, disorder parking on road side
Streets, colonies, causing accidents, difficulties in walking
signboards, billboards, flexies
other huge banners, causing utterly severe injuries, please do
needful, make Hyderabad crime
free",Nagapra32070363
21,2021-05-05 09:30:53+00:00,1389875235072131072,"@RaoKavitha  please, Take stringent action on illegal, disorder parking on road side
Streets, colonies, causing accidents, difficulties in walking
signboards, billboards, flexies
other huge banners, causing utterly severe injuries, please do
needful, make Hyderabad crime
free",Nagapra32070363
22,2021-05-05 09:30:23+00:00,1389875108123131907,"@trsharish  please, Take stringent action on illegal, disorder parking on road side
Streets, colonies, causing accidents, difficulties in walking
signboards, billboards, flexies
other huge banners, causing utterly severe injuries, please do
needful, make Hyderabad crime
free",Nagapra32070363
23,2021-05-05 09:30:08+00:00,1389875047989489664,"@KTRTRS  please, Take stringent action on illegal, disorder parking on road side
Streets, colonies, causing accidents, difficulties in walking
signboards, billboards, flexies
other huge banners, causing utterly severe injuries, please do
needful, make Hyderabad crime
free",Nagapra32070363
24,2021-05-05 09:29:54+00:00,1389874988623204359,"@SomeshKumarIAS  please, Take stringent action on illegal, disorder parking on road side
Streets, colonies, causing accidents, difficulties in walking
signboards, billboards, flexies
other huge banners, causing utterly severe injuries, please do
needful, make Hyderabad crime
free",Nagapra32070363
25,2021-05-05 09:29:37+00:00,1389874917110423552,"@TelanganaCMO please, Take stringent action on illegal, disorder parking on road side
Streets, colonies, causing accidents, difficulties in walking
signboards, billboards, flexies
other huge banners, causing utterly severe injuries, please do
needful, make Hyderabad crime
free",Nagapra32070363
26,2021-05-05 09:29:22+00:00,1389874854069948418,"@TelanganaDGP please, Take stringent action on illegal, disorder parking on road side
Streets, colonies, causing accidents, difficulties in walking
signboards, billboards, flexies
other huge banners, causing utterly severe injuries, please do
needful, make Hyderabad crime
free",Nagapra32070363
27,2021-05-01 20:58:28+00:00,1388598720824889344,"Jeedimetla is a suburb of Hyderabad 

Apr-2021
Jeedimetla road accident
https://t.co/i7fsqczHaR

July-2018
52 FOBs, eight skywalks to come up in Hyderabad
https://t.co/y4gLBYwLzu

No one questions the ""hi-tech"" TRS minister about the ""FOB/skywalks."" https://t.co/nIfi1uaw9f",eclector1419857
28,2021-04-30 02:47:51+00:00,1387961871353843713,"@Rakeshmyle2 @Trinadh04372636
@TrendPSPK @PawanismNetwork
#pleasehelpforlife
@SonuSood @KTRTRS 
Kotipalli srinivasa rao
38(M)
Critical Condition
Met with an road accident
More Than 5,00,000 rupees
Admitted at srikara hospitals, Miyapur,Hyderabad
Ganagalakurru,
Ambajepeta
EGD,AP https://t.co/D4WTkJymae",LovelyN58615537
29,2021-04-29 17:07:20+00:00,1387815776590180352,"@Rakeshmyle2 @Trinadh04372636
@TrendPSPK @PawanismNetwork
#pleasehelpforlife
@SonuSood @KTRTRS 
Kotipalli srinivasa rao
38(M)
Critical Condition
Met with an road accident
More Than 5,00,000 rupees
Admitted at srikara hospitals, Miyapur, Hyderabad
Ganagalakurru, Ambajepeta https://t.co/dAYOTrSILC",hemanth9032
30,2021-04-29 16:59:38+00:00,1387813838364545028,"@Rakeshmyle2
#pleasehelpforlife
@SonuSood @KTRTRS

Kotipalli srinivasa rao
38(M)
Critical Condition
Met with an road accident
More Than 5,00,000 rupees
Admitted at srikara hospitals, Miyapur, Hyderabad
Ganagalakurru
Ambajipeta mandal
East Godavari district
Andhra Pradesh https://t.co/xfn8sJdRy9",hemanth9032
31,2021-04-29 16:56:18+00:00,1387813000417923072,"#pleasehelpforlife
@SonuSood,@KTRTRS
Kotipalli srinivasa rao
38(M)
Critical Condition
Met with an road accident
More Than 5,00,000 rupees
Admitted at srikara hospitals, Miyapur, Hyderabad
Ganagalakurru
Ambajipeta mandal
East Godavari district
Andhra Pradesh https://t.co/JXrtI5LtRA",NITHISH_DHFM
32,2021-04-29 16:51:33+00:00,1387811806828060672,"@Rakeshmyle2 
#pleasehelpforlife
@SonuSood @KTRTRS

Kotipalli srinivasa rao
38(M)
Critical Condition
Met with an road accident
More Than 5,00,000 rupees
Admitted at srikara hospitals, Miyapur, Hyderabad
Ganagalakurru
Ambajipeta mandal
East Godavari district
Andhra Pradesh",Trinadh04372636
33,2021-04-29 16:41:53+00:00,1387809374672887810,"Kotipalli srinivasa rao
38(M)
Critical Condition
Met with an road accident
More Than 5,00,000 rupees
Admitted at srikara hospitals, Miyapur, Hyderabad
Ganagalakurru
Ambajipeta mandal
East Godavari district
Andhra Pradesh
@KTRTRS https://t.co/YAXZNsJPJi",rsk_sarath1566
34,2021-04-27 01:50:00+00:00,1386860146471706631,"Hyderabad: Bizman killed in road accident
https://t.co/FGqYeTdXvh",TelanganaToday
35,2021-04-22 08:39:32+00:00,1385151270005055488,[Notice-LTA] Accident on Alexandra Road (towards Malan Road) after Hyderabad Road. Avoid left lane #SG_Alerts (16:38),SG_Alerts
36,2021-04-22 08:38:45+00:00,1385151072235229187,Accident on Alexandra Road (towards Malan Road) after Hyderabad Road. Avoid left lane,LTAtrafficnews
37,2021-04-21 16:25:00+00:00,1384906020577701888,"Greyhounds constable killed in road accident in Hyderabad
https://t.co/TlziTiIOyK",TelanganaToday
38,2021-04-21 02:39:21+00:00,1384698237995474944,"Two wheeler road accident news, Hyd, 21st April 21
@HiHyderabad @HiCyberabad @HydWatch @hyderabad_zone @WithCitizen @HiTechCity 
@royal_sukanya @sai_koushika @saivamshirv @amksocialwork @PANDARAJATH @aveervani @swachhhyd @janamantemanam @Strictroadrules @Citizen_TS @Just_im_Ajay https://t.co/WsYvv78wuY",rajakesari99
39,2021-04-20 23:29:26+00:00,1384650447466635264,"@KTRTRS What a heart breaking news to see in early morning. Imagine about Kids who lost their mothers. Request you to please bring special law for road safety, more people die road accidents than covid @DonitaJose
Three killed in road mishap in Hyderabad https://t.co/q4D2dmmlcC",irshadahmedm
40,2021-04-19 05:10:47+00:00,1384011572587098112,"Hyd Road Accidents news, 19th April
@HiHyderabad @HiCyberabad @HydWatch @hyderabad_zone @WithCitizen @HiTechCity 
@royal_sukanya @sai_koushika @saivamshirv @amksocialwork @PANDARAJATH @aveervani @swachhhyd @janamantemanam @Strictroadrules @SatyaHari7 @Citizen_TS https://t.co/7p9GBZdEYd",rajakesari99
41,2021-04-18 17:08:18+00:00,1383829755489705994,"#Hyderabad, April 18: In a #ghastly road accident near Shamshabad, a #suburb of Hyderabad, six persons were #killed on the spot and three others received serious #injuries when a .......

https://t.co/L9BcFmcHk7 https://t.co/Xc35okf92Z",AakeruNews
42,2021-04-18 14:09:40+00:00,1383784798871642117,"Tragic Road accident in Shamshabad under Cyberabad. Truck carrying vegetable vendors overturned after colliding with a car. At least 6 dead, 15 injured 2 among them are critical.
#Hyderabad #Telangana https://t.co/3iwXExK8Cw",Ashi_IndiaToday
43,2021-04-18 05:39:03+00:00,1383656298944688129,"Hyd Road Accident news, 18th April
@HiHyderabad @HiCyberabad @HydWatch @hyderabad_zone @WithCitizen @HiTechCity 
@royal_sukanya @sai_koushika @saivamshirv @amksocialwork @PANDARAJATH @aveervani @swachhhyd @janamantemanam @Strictroadrules @Just_im_Ajay @Citizen_TS https://t.co/xth5to7oWI",rajakesari99
44,2021-04-16 23:11:10+00:00,1383196298895974402,Telangana: Two die in a road accident in Vikarabad district | Hyderabad News – Times of India https://t.co/OSP7hxxqfZ,PahariBazar
45,2021-04-16 21:48:46+00:00,1383175559769780227,Telangana: Two die in a road accident in Vikarabad district | Hyderabad News – Times of India https://t.co/OvKavE5FdY,nandkis09458351
46,2021-04-16 03:01:04+00:00,1382891765024264194,"Hyd Road Accidents news, 16th April. 
@HiHyderabad @HiCyberabad @HydWatch @hyderabad_zone @WithCitizen @HiTechCity 
@royal_sukanya @sai_koushika @saivamshirv @amksocialwork @PANDARAJATH @aveervani @swachhhyd @janamantemanam @Strictroadrules @Just_im_Ajay @SatyaHari7 https://t.co/CInohlXvkP",rajakesari99
47,2021-04-12 07:19:35+00:00,1381507272115818504,"Road Accidents news, T. S.12th April. 
@HiHyderabad @HiCyberabad @HydWatch @hyderabad_zone @WithCitizen @HiTechCity @royal_sukanya @sai_koushika @saivamshirv @amksocialwork @PANDARAJATH @aveervani @swachhhyd @janamantemanam @Strictroadrules
@SatyaHari7 @Just_im_Ajay https://t.co/rSglIuPHCC",rajakesari99
48,2021-04-10 13:31:24+00:00,1380876065212534786,"Road accidents news, Hyd. 10th April. 
@GHMCOnline @HiHyderabad @HiCyberabad @HydWatch @hyderabad_zone @WithCitizen @HiTechCity @royal_sukanya @sai_koushika 
@saivamshirv @amksocialwork @PANDARAJATH @aveervani @swachhhyd @janamantemanam  @Strictroadrules @SatyaHari7 https://t.co/MtW5NaSf3w",rajakesari99
49,2021-04-10 08:14:59+00:00,1380796438523772932,"Hyd Road Accident news, 10th April @HiHyderabad @HiCyberabad @HydWatch @hyderabad_zone @WithCitizen @HiTechCity
@royal_sukanya @sai_koushika @saivamshirv @amksocialwork @PANDARAJATH @aveervani @swachhhyd @janamantemanam @Spandana_Adv @Strictroadrules @SatyaHari7 https://t.co/2YzXU3GSlf",rajakesari99
50,2021-04-09 09:20:32+00:00,1380450544687452160,"Young Moto Vlogger from Hyderabad killed in road crash

#vlogger #blogger #sudheerkumarreddy #himachalpradesh #utnoor #accident #bike #hyderabad #roadcrash #travel #travelphotography #news #navgujaratsamay #navgujaratsamayofficial #gujarati https://t.co/4GwIjwxD74",navgujaratsamay
51,2021-04-08 21:12:14+00:00,1380267264352522241,"@Abijeet WE NEED HELP URGENTLY
My friend Jajala Sai met with an accident on 01/04/21 and his condition is very serious.
He is hospitalized needs to undergo Treatment at CITI NEURO HOSPITAL at jubillie hills road no:12 MLN colony hyderabad telangana Kindly we need your support sir https://t.co/j38fNEcAPt",BennyChristoph1
52,2021-04-08 13:23:21+00:00,1380149264999870464,"@KTRTRS  please allot space for street vendors, pushcart people, encroachments of roads, lanes, bylanes by vendors, parking by educated citizens causing accidents, road blocks, violating pedestrian right to walk, please mull and do needful, still Hyderabad city is not modern",Nagapra32070363
53,2021-04-08 13:23:11+00:00,1380149222570266624,"@RaoKavitha please allot space for street vendors, pushcart people, encroachments of roads, lanes, bylanes by vendors, parking by educated citizens causing accidents, road blocks, violating pedestrian right to walk, please mull and do needful, still Hyderabad city is not modern",Nagapra32070363
54,2021-04-08 13:22:59+00:00,1380149172913860612,"@TelanganaCMO please allot space for street vendors, pushcart people, encroachments of roads, lanes, bylanes by vendors, parking by educated citizens causing accidents, road blocks, violating pedestrian right to walk, please mull and do needful, still Hyderabad city is not modern",Nagapra32070363
55,2021-04-08 13:22:42+00:00,1380149103728996352,"@trsharish please allot space for street vendors, pushcart people, encroachments of roads, lanes, bylanes by vendors, parking by educated citizens causing accidents, road blocks, violating pedestrian right to walk, please mull and do needful, still Hyderabad city is not modern",Nagapra32070363
56,2021-04-08 03:03:37+00:00,1379993302599139329,This Hyderabad NGO tags stray dogs with fluorescent collars to avoid road accidents | News - Times of India Videos https://t.co/1RdxEvHuJr,exploredogs
57,2021-04-07 23:49:23+00:00,1379944422821875713,"@satishacharya @CareReligare Very Common with them, they rejected my friend's wife road accident claim stating pre existing Sugar. Few Slaps &amp; hungama claim processed ... Couple of years back I. Hyderabad",SuranaChamp
58,2021-04-07 08:45:56+00:00,1379717062583480329,"@SonuSood sir we need your help sir
Plzz help us to save my friend
We are from Hyderabad 
He met with an accident sir....
He admitted in city neuro hospital banjara hills road no.12

Plzzz help him sir https://t.co/Psz3Mntg7H",ChootysBoy
59,2021-04-06 08:18:31+00:00,1379347777302327296,"2. High Kick Moments - Year 2018 - JCB work done to level the road causing accidents. Location: Madinaguda, Hyderabad. 👊✊  (Continued) https://t.co/2iafHAVSte",AmarKokkanti
60,2021-04-06 07:21:59+00:00,1379333549183012866,"Hyd Road Accidents news, 06th April 21. @HiHyderabad @HiCyberabad @HydWatch @hyderabad_zone @WithCitizen @HiTechCity @royal_sukanya @sai_koushika @saivamshirv @amksocialwork 
@PANDARAJATH @aveervani
@swachhhyd @janamantemanam @Spandana_Adv @Citizen_TS @Strictroadrules https://t.co/yTv1X8Cei9",rajakesari99
61,2021-04-06 02:05:00+00:00,1379253776561889282,"Hyderabad: One killed, four injured in road accident at Madhapur
https://t.co/cAf5BicOM5",TelanganaToday
62,2021-04-05 03:51:54+00:00,1378918291238961152,"Hyderabad-based Military College of Electronics and Mechanical Engineering has developed a device that uses artificial intelligence to prevent road accidents by raising an alarm if the driver is found sleepy.
#AI",MesaViit
63,2021-04-04 17:36:46+00:00,1378763490387664899,"Although the road from New Hyderabad Highway 65 to Doddi village is very bad, the number of accidents is increasing. We have to pay attention to this issue as soon as possible. The traffic is heavy. @Sachink_789 @DeshmukSubhash https://t.co/C3v9wRiVNz",KrishnaPotdar10
64,2021-04-04 06:19:31+00:00,1378593054332833799,'Hyderabad-based Military College of Electronics and Mechanical Engineering (MCEME) has developed a device that uses artificial intelligence to prevent road accidents by raising an alarm if the driver is found sleepy.' https://t.co/CnsBnCo4NP,divakarssathya
65,2021-04-04 00:10:37+00:00,1378500218258329606,This Hyderabad NGO tags stray dogs with fluorescent collars to avoid road accidents | News – Times of India Videos https://t.co/Tfpa9zsAci,TechKashif
66,2021-04-03 15:01:37+00:00,1378362054981996549,"Road Accidents news, T. S. 03rd April @HiHyderabad @HiCyberabad @HydWatch @hyderabad_zone @WithCitizen @HiTechCity @royal_sukanya @sai_koushika @saivamshirv @amksocialwork 
@PANDARAJATH @aveervani
@swachhhyd @janamantemanam
@Spandana_Adv @Strictroadrules @SatyaHari7 @Citizen_TS https://t.co/vCHZX74Fzn",rajakesari99
