img,url,title,desc,date
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/states/odisha/2021/nov/11/rakshak-launched-to-help-road-accident-victims-2382188.html,‘Rakshak’ launched to help road accident victims,"On the occasion, Odisha Public Transport and Integrated Commuter System was inaugurated by the Chief Minister.",published on : 11th November 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/states/kerala/2021/nov/01/miss-south-india-ansi-former-miss-kerala-runner-up-anjana-die-in-road-accident-in-kochi-2378296.html,"Miss South India Ansi, former Miss Kerala runner up Anjana die in road accident in Kochi",Police have checked CCTV cameras at shops in premises and found that the car was travelling at high speed and lost control on suddenly seeing the scooter in front.,published on : 1st November 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/states/odisha/2021/oct/20/get-rs-5000-for-savinglife-of-road-accident-victims-odisha-government-2373513.html,"Get Rs 5,000 for saving life of road accident victims: Odisha government",Principal Secretary of Transport department Madhu Sudan Padhi said the scheme will motivate people to help road accident victims in emergency situations and inspire others to save innocent lives. ,published on : 20th October 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/states/tamil-nadu/2021/oct/15/young-woman-from-tn-her-motherdies-in-a-road-accident-in-riyadh-2371918.html,"Young woman from TN, her mother dies in a road accident in Riyadh",Shyama Kanagasabapathy and her mother Malar Selvi died on the spot. Her father suffered injuries,published on : 15th October 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/world/2021/oct/04/swedish-artist-under-protection-since-2007-for-controversial-religious-sketch-dies-in-road-accident-2367390.html,Swedish artist under protection since 2007 for controversial religious sketch dies in road accident,Vilks' life changed radically 13 years ago after he drew a sketch of Muhammad with a dog's body.,published on : 4th October 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/states/kerala/2021/sep/28/separate-road-accidents-claim-ninelives-in-kerala-2364584.html,Separate road accidents claim nine lives in Kerala,A TV journalist died when a car hit the two-wheeler he was riding at Puzhambram near Ponnani on Sunday night.,published on : 28th September 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/cities/thiruvananthapuram/2021/sep/23/kin-of-techie-killed-in-road-accident-to-get-rs-219-crore-2362467.html,Kin of techie killed in road accident to get Rs 2.19 crore,The 28-year-old resident of Kundamanbhagom was travelling on his bike when he was hit from behind by a speeding tipper lorry near Maruthumkuzhi bridge.,published on : 23rd September 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/nation/2021/sep/19/120-lakh-deaths-due-to-negligence-in-road-accidents-in-2020-average-328-daily-ncrb-data-2360921.html,"1.20 lakh deaths due to negligence in road accidents in 2020, average 328 daily: NCRB data","The country also logged 1.35 lakh cases of “hit and run” since 2018, the report of the NCRB, which functions under the Union Home Ministry, showed.",published on : 19th September 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/cities/thiruvananthapuram/2021/sep/16/no-letupin-road-accidents-in-kerala-capital-2359249.html,No letup in road accidents in Kerala capital,"Even as the police have been carrying out various awareness drives to curb traffic violations, there is no dip in the number of road accidents in the district.",published on : 16th September 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/nation/2021/sep/14/one-dead-15-injured-in-two-road-accidents-on-yamuna-expressway-police-2358299.html,"One dead, 15 injured in two road accidents on Yamuna Expressway: Police ","The first accident occurred when a truck coming from Noida side rammed against a stationary canter near the '92 km' milestone, resulting in the death of one, injury to two others early this morning.",published on : 14th September 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/states/karnataka/2021/sep/13/eight-die-in-chikkaballapur-road-accident-2357883.html,Eight die in Chikkaballapur road accident,Eight people lost their lives when a goods vehicle rammed their jeep near Madikere Cross of Madanpalli-Chinthamani Road near here on Sunday.,published on : 13th September 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/entertainment/telugu/2021/sep/11/tollywood-actor-sai-dharam-tej-meetswith-road-accident-suffers-collarbone-injury-2357219.html,"Tollywood actor Sai Dharam Tej meets with road accident, suffers collarbone injury","He was wearing a helmet at the time of the incident. Prima facie, it's found that he was not in a drunken condition. ",published on : 11th September 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/opinions/editorials/2021/sep/03/karnataka-road-accident-another-wake-up-call-2353482.html,Karnataka road accident another wake-up call,Such accidents threaten to be more frequent with the Covid-19 pandemic on a decline and the youth coming out in hordes to reclaim freedom that had been curtailed due to lockdowns.,published on : 3rd September 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/states/telangana/2021/sep/02/mptc-member-husband-killed-in-road-accident-on-their-way-tohyderabad-2353111.html,"MPTC member, husband killed in road accident on their way to Hyderabad","As per the police, the accident happened when the tipper lorry’s driver applied sudden brakes, causing the couple’s car to ram into the lorry.",published on : 2nd September 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/states/karnataka/2021/sep/01/freak-road-accident-on-audi-snuffs-out-lives-of-seven-youths-2352537.html,Freak road accident on Audi snuffs out lives of seven youths,"Karuna Sagar (25), the only son of Hosur DMK MLA Prakash Y, had come to Bengaluru on his Audi Q3 with the Karnataka registration number and picked up his friends.",published on : 1st September 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/nation/2021/aug/31/twelve-pilgrims-killed-six-others-injured-in-road-accident-in-rajasthans-nagaur-2352362.html,"Twelve pilgrims killed, six others injured in road accident in Rajasthan's Nagaur","The accident occurred near the Shri Balaji temple on the Bikaner-Jodhpur Highway, they said, adding eight women and two minors were among those killed.",published on : 31st August 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/states/andhra-pradesh/2021/aug/30/five-including-four-women-killed-in-road-accident-in-andhra-pradesh-10-injured-2351838.html,"Five including four women killed in road accident in Andhra Pradesh, 10 injured",Police said the deceased hail from Darsi and went to Bestavaripet on Sunday evening to fix a marriage alliance. The mishap took place when they were returning back to Darsi.,published on : 30th August 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/nation/2021/aug/28/madhya-pradesh-tribal-thrashed-after-road-accident-tied-to-vehicle-and-dragged-by-gurjar-men-dies-2351158.html,"Madhya Pradesh: Tribal thrashed after road accident, tied to vehicle and dragged by Gurjar men, dies","The incident occurred after one of the accused, a milkman, knocked down the victim, Kanhaiyalal Bheel, and in the process spilt his milk and as a result, lost his cool and beat up the victim.",published on : 28th August 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/states/tamil-nadu/2021/aug/28/theni-district-collector-rescues-man-who-broke-leg-in-road-accident-rushes-him-to-hospital-2351087.html,"Theni district collector rescues man who broke leg in road accident, rushes him to hospital","The collector K V Muralidharan, who was on the way from Kumuli to Theni after finishing his inspection at border check posts, witnessed the two wheeler rider caught in an accident near Anumathapatti",published on : 28th August 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/cities/thiruvananthapuram/2021/aug/27/law-student-two-others-die-in-two-road-accidents-2350350.html,"Law student, two others die in two road accidents","Auto driver, dialysis patient killed as vehicle collides with car",published on : 27th August 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/states/odisha/2021/aug/16/odisha-launches-mobile-app-for-integrated-road-accident-database-2345445.html,Odisha launches mobile app for integrated road accident database,The application will enable the collection of accident data on the spot and help analyse causes of road accidents and help reduce fatalities.,published on : 16th August 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/nation/2021/aug/14/two-cops-among-four-killed-in-road-accident-in-haryanas-ambala-2344697.html,Two cops among four killed in road accident in Haryana's Ambala,"Two police officials were standing near their police van and talking to two other victims when the truck hit their vehicle, police said.",published on : 14th August 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/nation/2021/aug/10/jawan-joins-rescue-operation-after-road-accident-finds-mother-among-dead-in-chhattisgarh-2342882.html,"Jawan joins rescue operation after road accident, finds mother among dead in Chhattisgarh","Four persons including two teenagers and a woman were killed in the incident that occurred between the Tetam and Telam village of Dantewada, about 450 km south of Raipur.",published on : 10th August 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/nation/2021/aug/08/five-people-including-4-children-dead-in-road-accident-in-ups-mau-2341965.html,"Five people, including 4 children, dead in road accident in UP's Mau",The accident took place in Sonbarsa village under Dohrighat police station area of the district. Two people sustained injuries in the incident.,published on : 8th August 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/states/telangana/2021/aug/06/five-killed-in-road-accident-in-telanganas-sangareddy-district-2341115.html,Five killed in road accident in Telangana's Sangareddy district,The family from Kulcharam in Medak district had gone to Sangareddy for the child's health check and were returning home.,published on : 6th August 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/world/2021/aug/04/indian-truck-driver-dies-in-road-accident-in-uss-arizona-2339956.html,Indian truck driver dies in road accident in US's Arizona,"The incident is reported to have occurred around 11 pm Monday on Highway 40 near Flagstaff in Arizona, as the victim was taking a consignment from Georgia to California.",published on : 4th August 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/states/kerala/2021/aug/01/organ-donation-road-accident-victim-from-kerala-to-live-on-through-five-others-2338437.html,Organ donation: Road accident victim from Kerala to live on through five others,Health Minister Veena George praised Lincy for taking an exemplary stand and being a model for society.,published on : 1st August 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/states/odisha/2021/jul/31/joint-inspection-of-road-accident-spots-a-must-from-august-1-2338066.html,Joint inspection of road accident spots a must in Odisha from August 1,The State government has directed the district collectors to conduct joint inspections of accident spots from August 1 and share the data with the Transport department regularly without fail. ,published on : 31st July 2021
