,Image Name,Image Source
30,"Over-Speeding Causes Most Road Accident Deaths in India, Check the Numbers  Here - Gallery",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRMGy438HtGxPf9LlZkOza9D28OyJFMfkP84A&usqp=CAU
31,Countries With The Highest Number Of Road Accidents: Find Out Where India  Stands,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNU2aYIa5GkPqHHghV8r_UrvQukGp15_3N1g&usqp=CAU
32,Over 70% of people killed in road accidents are 'Young Indians' - The  Financial Express..,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQa7dC4lQ-pUs0k0_zcz19o6qsGBd8TWbqVWA&usqp=CAU
33,Road Accident Statistics in India,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8TmJB-wzC40JzLQUnvPtnkIhYgOUXX9jlZw&usqp=CAU
34,Every Hour 17 People Die in India Due to Road Accidents; Uttar Pradesh Most  Dangerous – Infographic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSKXc0iSfobMqnKJxZbf3gFd1hnwrMAtubyCA&usqp=CAU
35,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTv1oOWi7UtpBlnDjR-wo1l2gsgyB5bYMRZmnnG0rq3B3s_-L7_&usqp=CAU
36,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSdEdO-LOBRjc2i9NJ2ySDfVbE-7grp-mam-ZtftUdRrcF9GlMn&usqp=CAU
37,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRYcpmHgjBjn9praaVa0u_14yef1qzdoBDy8WfBd8SzmigC-tVX&usqp=CAU
38,Over 3.66 lakh road accidents caused about 1.32 lakh deaths in 2020: Govt -  The Financial Express,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQD8Ar15kDhkMRY-5iFSNndoZC2nBzhYy40iw&usqp=CAU
39,"1,317 Accidents And 413 Deaths On Indian Roads Each Day In 2016",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2QYnXBxxU3fi_LHeWKjiwPP4a21L7MJnUBg&usqp=CAU
40,"Road accidents in India, 2016: 17 deaths on roads every hour, Chennai and  Delhi most dangerous | India News,The Indian Express",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQcMAi0kKLViawFfEuppwpykUH-yYnazeaxrg&usqp=CAU
41,A Teenager Dies Every Hour in Road Accidents in India: NGO | India |  indiawest.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRBhaYTK3AAuFZ5ySKpTCp3kAHWaxqxmgsl8A&usqp=CAU
42,India - road accident deaths by road users 2018 | Statista,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSGSscWBn4F4WnBT2VVQRwO1a7Cckbmy8D5hw&usqp=CAU
43,Road accidents in India decline but deaths on rise,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRIIJ9UjZC1lQEaWffC80WEBMp-LNiFfE2Kzw&usqp=CAU
